"Station","TTArrTime","ArrFlag","Loop","TTDepTime","DepFlag","Secn","TTHaltTime","MinHaltTime","TTRunTime","MinRunTime","TrainID","Priority"
"Charlie",2016-04-17 10:08:00,"P",0,2016-04-17 10:13:00,"P",0,5,5,12,10,10003,1
"Bravo",2016-04-17 10:25:00,"P",0,2016-04-17 10:30:00,"P",0,5,5,12,10,10003,1
"Alpha",2016-04-17 10:42:00,"P",0,2016-04-17 10:47:00,"P",0,5,5,0,0,10003,1
"Alpha",2016-04-17 17:16:00,"P",0,2016-04-17 17:21:00,"P",0,5,5,12,10,10004,1
"Bravo",2016-04-17 17:33:00,"P",0,2016-04-17 17:38:00,"P",0,5,5,12,10,10004,1
"Charlie",2016-04-17 17:50:00,"P",0,2016-04-17 17:55:00,"P",0,5,5,12,10,10004,1
"Delta",2016-04-17 18:07:00,"P",0,2016-04-17 18:12:00,"P",0,5,5,12,10,10004,1
"Echo",2016-04-17 18:24:00,"P",0,2016-04-17 18:29:00,"P",0,5,5,12,10,10004,1
"Foxtrot",2016-04-17 18:41:00,"P",0,2016-04-17 18:46:00,"P",0,5,5,12,10,10004,1
"Golf",2016-04-17 18:58:00,"P",0,2016-04-17 19:03:00,"P",0,5,5,12,10,10004,1
"Hotel",2016-04-17 19:15:00,"P",0,2016-04-17 19:20:00,"P",0,5,5,12,10,10004,1
"India",2016-04-17 19:32:00,"P",0,2016-04-17 19:37:00,"P",0,5,5,12,10,10004,1
"Juliet",2016-04-17 19:49:00,"P",0,2016-04-17 19:54:00,"P",0,5,5,12,10,10004,1
"Kilo",2016-04-17 20:06:00,"P",0,2016-04-17 20:11:00,"P",0,5,5,0,0,10004,1
"Kilo",2016-04-17 18:19:00,"P",0,2016-04-17 18:24:00,"P",0,5,5,12,10,10005,1
"Juliet",2016-04-17 18:36:00,"P",0,2016-04-17 18:41:00,"P",0,5,5,12,10,10005,1
"India",2016-04-17 18:53:00,"P",0,2016-04-17 18:58:00,"P",0,5,5,12,10,10005,1
"Hotel",2016-04-17 19:10:00,"P",0,2016-04-17 19:15:00,"P",0,5,5,12,10,10005,1
"Golf",2016-04-17 19:27:00,"P",0,2016-04-17 19:32:00,"P",0,5,5,12,10,10005,1
"Foxtrot",2016-04-17 19:44:00,"P",0,2016-04-17 19:49:00,"P",0,5,5,12,10,10005,1
"Echo",2016-04-17 20:01:00,"P",0,2016-04-17 20:06:00,"P",0,5,5,12,10,10005,1
"Delta",2016-04-17 20:18:00,"P",0,2016-04-17 20:23:00,"P",0,5,5,12,10,10005,1
"Charlie",2016-04-17 20:35:00,"P",0,2016-04-17 20:40:00,"P",0,5,5,12,10,10005,1
"Bravo",2016-04-17 20:52:00,"P",0,2016-04-17 20:57:00,"P",0,5,5,12,10,10005,1
"Alpha",2016-04-17 21:09:00,"P",0,2016-04-17 21:14:00,"P",0,5,5,0,0,10005,1
"Alpha",2016-04-17 05:40:00,"P",0,2016-04-17 05:45:00,"P",0,5,5,12,10,10006,1
"Bravo",2016-04-17 05:57:00,"P",0,2016-04-17 06:02:00,"P",0,5,5,12,10,10006,1
"Charlie",2016-04-17 06:14:00,"P",0,2016-04-17 06:19:00,"P",0,5,5,12,10,10006,1
"Delta",2016-04-17 06:31:00,"P",0,2016-04-17 06:36:00,"P",0,5,5,12,10,10006,1
"Echo",2016-04-17 06:48:00,"P",0,2016-04-17 06:53:00,"P",0,5,5,12,10,10006,1
"Foxtrot",2016-04-17 07:05:00,"P",0,2016-04-17 07:10:00,"P",0,5,5,12,10,10006,1
"Golf",2016-04-17 07:22:00,"P",0,2016-04-17 07:27:00,"P",0,5,5,12,10,10006,1
"Hotel",2016-04-17 07:39:00,"P",0,2016-04-17 07:44:00,"P",0,5,5,12,10,10006,1
"India",2016-04-17 07:56:00,"P",0,2016-04-17 08:01:00,"P",0,5,5,12,10,10006,1
"Juliet",2016-04-17 08:13:00,"P",0,2016-04-17 08:18:00,"P",0,5,5,12,10,10006,1
"Kilo",2016-04-17 08:30:00,"P",0,2016-04-17 08:35:00,"P",0,5,5,0,0,10006,1
"Kilo",2016-04-17 19:20:00,"P",0,2016-04-17 19:25:00,"P",0,5,5,12,10,10007,1
"Juliet",2016-04-17 19:37:00,"P",0,2016-04-17 19:42:00,"P",0,5,5,12,10,10007,1
"India",2016-04-17 19:54:00,"P",0,2016-04-17 19:59:00,"P",0,5,5,12,10,10007,1
"Hotel",2016-04-17 20:11:00,"P",0,2016-04-17 20:16:00,"P",0,5,5,12,10,10007,1
"Golf",2016-04-17 20:28:00,"P",0,2016-04-17 20:33:00,"P",0,5,5,12,10,10007,1
"Foxtrot",2016-04-17 20:45:00,"P",0,2016-04-17 20:50:00,"P",0,5,5,12,10,10007,1
"Echo",2016-04-17 21:02:00,"P",0,2016-04-17 21:07:00,"P",0,5,5,12,10,10007,1
"Delta",2016-04-17 21:19:00,"P",0,2016-04-17 21:24:00,"P",0,5,5,12,10,10007,1
"Charlie",2016-04-17 21:36:00,"P",0,2016-04-17 21:41:00,"P",0,5,5,12,10,10007,1
"Bravo",2016-04-17 21:53:00,"P",0,2016-04-17 21:58:00,"P",0,5,5,12,10,10007,1
"Alpha",2016-04-17 22:10:00,"P",0,2016-04-17 22:15:00,"P",0,5,5,0,0,10007,1
"Alpha",2016-04-17 04:43:00,"P",0,2016-04-17 04:48:00,"P",0,5,5,12,10,10008,1
"Bravo",2016-04-17 05:00:00,"P",0,2016-04-17 05:05:00,"P",0,5,5,12,10,10008,1
"Charlie",2016-04-17 05:17:00,"P",0,2016-04-17 05:22:00,"P",0,5,5,12,10,10008,1
"Delta",2016-04-17 05:34:00,"P",0,2016-04-17 05:39:00,"P",0,5,5,12,10,10008,1
"Echo",2016-04-17 05:51:00,"P",0,2016-04-17 05:56:00,"P",0,5,5,12,10,10008,1
"Foxtrot",2016-04-17 06:08:00,"P",0,2016-04-17 06:13:00,"P",0,5,5,12,10,10008,1
"Golf",2016-04-17 06:25:00,"P",0,2016-04-17 06:30:00,"P",0,5,5,12,10,10008,1
"Hotel",2016-04-17 06:42:00,"P",0,2016-04-17 06:47:00,"P",0,5,5,12,10,10008,1
"India",2016-04-17 06:59:00,"P",0,2016-04-17 07:04:00,"P",0,5,5,12,10,10008,1
"Juliet",2016-04-17 07:16:00,"P",0,2016-04-17 07:21:00,"P",0,5,5,12,10,10008,1
"Kilo",2016-04-17 07:33:00,"P",0,2016-04-17 07:38:00,"P",0,5,5,0,0,10008,1
"Kilo",2016-04-16 07:53:00,"P",0,2016-04-16 07:58:00,"P",0,5,5,12,10,10009,1
"Juliet",2016-04-16 08:10:00,"P",0,2016-04-16 08:15:00,"P",0,5,5,12,10,10009,1
"India",2016-04-16 08:27:00,"P",0,2016-04-16 08:32:00,"P",0,5,5,12,10,10009,1
"Hotel",2016-04-16 08:44:00,"P",0,2016-04-16 08:49:00,"P",0,5,5,12,10,10009,1
"Golf",2016-04-16 09:01:00,"P",0,2016-04-16 09:06:00,"P",0,5,5,12,10,10009,1
"Foxtrot",2016-04-16 09:18:00,"P",0,2016-04-16 09:23:00,"P",0,5,5,12,10,10009,1
"Echo",2016-04-16 09:35:00,"P",0,2016-04-16 09:40:00,"P",0,5,5,12,10,10009,1
"Delta",2016-04-16 09:52:00,"P",0,2016-04-16 09:57:00,"P",0,5,5,12,10,10009,1
"Charlie",2016-04-16 10:09:00,"P",0,2016-04-16 10:14:00,"P",0,5,5,12,10,10009,1
"Bravo",2016-04-16 10:26:00,"P",0,2016-04-16 10:31:00,"P",0,5,5,12,10,10009,1
"Alpha",2016-04-16 10:43:00,"P",0,2016-04-16 10:48:00,"P",0,5,5,0,0,10009,1
"Alpha",2016-04-17 09:44:00,"P",0,2016-04-17 09:49:00,"P",0,5,5,12,10,10010,1
"Bravo",2016-04-17 10:01:00,"P",0,2016-04-17 10:06:00,"P",0,5,5,12,10,10010,1
"Charlie",2016-04-17 10:18:00,"P",0,2016-04-17 10:23:00,"P",0,5,5,12,10,10010,1
"Delta",2016-04-17 10:35:00,"P",0,2016-04-17 10:40:00,"P",0,5,5,12,10,10010,1
"Echo",2016-04-17 10:52:00,"P",0,2016-04-17 10:57:00,"P",0,5,5,12,10,10010,1
"Foxtrot",2016-04-17 11:09:00,"P",0,2016-04-17 11:14:00,"P",0,5,5,12,10,10010,1
"Golf",2016-04-17 11:26:00,"P",0,2016-04-17 11:31:00,"P",0,5,5,12,10,10010,1
"Hotel",2016-04-17 11:43:00,"P",0,2016-04-17 11:48:00,"P",0,5,5,12,10,10010,1
"India",2016-04-17 12:00:00,"P",0,2016-04-17 12:05:00,"P",0,5,5,12,10,10010,1
"Juliet",2016-04-17 12:17:00,"P",0,2016-04-17 12:22:00,"P",0,5,5,12,10,10010,1
"Kilo",2016-04-17 12:34:00,"P",0,2016-04-17 12:39:00,"P",0,5,5,0,0,10010,1
"Kilo",2016-04-16 12:23:00,"P",0,2016-04-16 12:28:00,"P",0,5,5,12,10,10011,1
"Juliet",2016-04-16 12:40:00,"P",0,2016-04-16 12:45:00,"P",0,5,5,12,10,10011,1
"India",2016-04-16 12:57:00,"P",0,2016-04-16 13:02:00,"P",0,5,5,12,10,10011,1
"Hotel",2016-04-16 13:14:00,"P",0,2016-04-16 13:19:00,"P",0,5,5,12,10,10011,1
"Golf",2016-04-16 13:31:00,"P",0,2016-04-16 13:36:00,"P",0,5,5,12,10,10011,1
"Foxtrot",2016-04-16 13:48:00,"P",0,2016-04-16 13:53:00,"P",0,5,5,12,10,10011,1
"Echo",2016-04-16 14:05:00,"P",0,2016-04-16 14:10:00,"P",0,5,5,12,10,10011,1
"Delta",2016-04-16 14:22:00,"P",0,2016-04-16 14:27:00,"P",0,5,5,12,10,10011,1
"Charlie",2016-04-16 14:39:00,"P",0,2016-04-16 14:44:00,"P",0,5,5,12,10,10011,1
"Bravo",2016-04-16 14:56:00,"P",0,2016-04-16 15:01:00,"P",0,5,5,12,10,10011,1
"Alpha",2016-04-16 15:13:00,"P",0,2016-04-16 15:18:00,"P",0,5,5,0,0,10011,1
"Alpha",2016-04-16 20:50:00,"P",0,2016-04-16 20:55:00,"P",0,5,5,12,10,10012,1
"Bravo",2016-04-16 21:07:00,"P",0,2016-04-16 21:12:00,"P",0,5,5,12,10,10012,1
"Charlie",2016-04-16 21:24:00,"P",0,2016-04-16 21:29:00,"P",0,5,5,12,10,10012,1
"Delta",2016-04-16 21:41:00,"P",0,2016-04-16 21:46:00,"P",0,5,5,12,10,10012,1
"Echo",2016-04-16 21:58:00,"P",0,2016-04-16 22:03:00,"P",0,5,5,12,10,10012,1
"Foxtrot",2016-04-16 22:15:00,"P",0,2016-04-16 22:20:00,"P",0,5,5,12,10,10012,1
"Golf",2016-04-16 22:32:00,"P",0,2016-04-16 22:37:00,"P",0,5,5,12,10,10012,1
"Hotel",2016-04-16 22:49:00,"P",0,2016-04-16 22:54:00,"P",0,5,5,12,10,10012,1
"India",2016-04-16 23:06:00,"P",0,2016-04-16 23:11:00,"P",0,5,5,12,10,10012,1
"Juliet",2016-04-16 23:23:00,"P",0,2016-04-16 23:28:00,"P",0,5,5,12,10,10012,1
"Kilo",2016-04-16 23:40:00,"P",0,2016-04-16 23:45:00,"P",0,5,5,0,0,10012,1
"Kilo",2016-04-17 00:59:00,"P",0,2016-04-17 01:04:00,"P",0,5,5,12,10,10013,1
"Juliet",2016-04-17 01:16:00,"P",0,2016-04-17 01:21:00,"P",0,5,5,12,10,10013,1
"India",2016-04-17 01:33:00,"P",0,2016-04-17 01:38:00,"P",0,5,5,12,10,10013,1
"Hotel",2016-04-17 01:50:00,"P",0,2016-04-17 01:55:00,"P",0,5,5,12,10,10013,1
"Golf",2016-04-17 02:07:00,"P",0,2016-04-17 02:12:00,"P",0,5,5,12,10,10013,1
"Foxtrot",2016-04-17 02:24:00,"P",0,2016-04-17 02:29:00,"P",0,5,5,12,10,10013,1
"Echo",2016-04-17 02:41:00,"P",0,2016-04-17 02:46:00,"P",0,5,5,12,10,10013,1
"Delta",2016-04-17 02:58:00,"P",0,2016-04-17 03:03:00,"P",0,5,5,12,10,10013,1
"Charlie",2016-04-17 03:15:00,"P",0,2016-04-17 03:20:00,"P",0,5,5,12,10,10013,1
"Bravo",2016-04-17 03:32:00,"P",0,2016-04-17 03:37:00,"P",0,5,5,12,10,10013,1
"Alpha",2016-04-17 03:49:00,"P",0,2016-04-17 03:54:00,"P",0,5,5,0,0,10013,1
"Alpha",2016-04-17 06:16:00,"P",0,2016-04-17 06:21:00,"P",0,5,5,12,10,10014,1
"Bravo",2016-04-17 06:33:00,"P",0,2016-04-17 06:38:00,"P",0,5,5,12,10,10014,1
"Charlie",2016-04-17 06:50:00,"P",0,2016-04-17 06:55:00,"P",0,5,5,12,10,10014,1
"Delta",2016-04-17 07:07:00,"P",0,2016-04-17 07:12:00,"P",0,5,5,12,10,10014,1
"Echo",2016-04-17 07:24:00,"P",0,2016-04-17 07:29:00,"P",0,5,5,12,10,10014,1
"Foxtrot",2016-04-17 07:41:00,"P",0,2016-04-17 07:46:00,"P",0,5,5,12,10,10014,1
"Golf",2016-04-17 07:58:00,"P",0,2016-04-17 08:03:00,"P",0,5,5,12,10,10014,1
"Hotel",2016-04-17 08:15:00,"P",0,2016-04-17 08:20:00,"P",0,5,5,12,10,10014,1
"India",2016-04-17 08:32:00,"P",0,2016-04-17 08:37:00,"P",0,5,5,12,10,10014,1
"Juliet",2016-04-17 08:49:00,"P",0,2016-04-17 08:54:00,"P",0,5,5,12,10,10014,1
"Kilo",2016-04-17 09:06:00,"P",0,2016-04-17 09:11:00,"P",0,5,5,0,0,10014,1
"Kilo",2016-04-17 04:21:00,"P",0,2016-04-17 04:26:00,"P",0,5,5,12,10,10015,1
"Juliet",2016-04-17 04:38:00,"P",0,2016-04-17 04:43:00,"P",0,5,5,12,10,10015,1
"India",2016-04-17 04:55:00,"P",0,2016-04-17 05:00:00,"P",0,5,5,12,10,10015,1
"Hotel",2016-04-17 05:12:00,"P",0,2016-04-17 05:17:00,"P",0,5,5,12,10,10015,1
"Golf",2016-04-17 05:29:00,"P",0,2016-04-17 05:34:00,"P",0,5,5,12,10,10015,1
"Foxtrot",2016-04-17 05:46:00,"P",0,2016-04-17 05:51:00,"P",0,5,5,12,10,10015,1
"Echo",2016-04-17 06:03:00,"P",0,2016-04-17 06:08:00,"P",0,5,5,12,10,10015,1
"Delta",2016-04-17 06:20:00,"P",0,2016-04-17 06:25:00,"P",0,5,5,12,10,10015,1
"Charlie",2016-04-17 06:37:00,"P",0,2016-04-17 06:42:00,"P",0,5,5,12,10,10015,1
"Bravo",2016-04-17 06:54:00,"P",0,2016-04-17 06:59:00,"P",0,5,5,12,10,10015,1
"Alpha",2016-04-17 07:11:00,"P",0,2016-04-17 07:16:00,"P",0,5,5,0,0,10015,1
"Alpha",2016-04-16 02:33:00,"P",0,2016-04-16 02:38:00,"P",0,5,5,12,10,10016,1
"Bravo",2016-04-16 02:50:00,"P",0,2016-04-16 02:55:00,"P",0,5,5,12,10,10016,1
"Charlie",2016-04-16 03:07:00,"P",0,2016-04-16 03:12:00,"P",0,5,5,12,10,10016,1
"Delta",2016-04-16 03:24:00,"P",0,2016-04-16 03:29:00,"P",0,5,5,12,10,10016,1
"Echo",2016-04-16 03:41:00,"P",0,2016-04-16 03:46:00,"P",0,5,5,12,10,10016,1
"Foxtrot",2016-04-16 03:58:00,"P",0,2016-04-16 04:03:00,"P",0,5,5,12,10,10016,1
"Golf",2016-04-16 04:15:00,"P",0,2016-04-16 04:20:00,"P",0,5,5,12,10,10016,1
"Hotel",2016-04-16 04:32:00,"P",0,2016-04-16 04:37:00,"P",0,5,5,12,10,10016,1
"India",2016-04-16 04:49:00,"P",0,2016-04-16 04:54:00,"P",0,5,5,12,10,10016,1
"Juliet",2016-04-16 05:06:00,"P",0,2016-04-16 05:11:00,"P",0,5,5,12,10,10016,1
"Kilo",2016-04-16 05:23:00,"P",0,2016-04-16 05:28:00,"P",0,5,5,0,0,10016,1
"Kilo",2016-04-16 03:03:00,"P",0,2016-04-16 03:08:00,"P",0,5,5,12,10,10017,1
"Juliet",2016-04-16 03:20:00,"P",0,2016-04-16 03:25:00,"P",0,5,5,12,10,10017,1
"India",2016-04-16 03:37:00,"P",0,2016-04-16 03:42:00,"P",0,5,5,12,10,10017,1
"Hotel",2016-04-16 03:54:00,"P",0,2016-04-16 03:59:00,"P",0,5,5,12,10,10017,1
"Golf",2016-04-16 04:11:00,"P",0,2016-04-16 04:16:00,"P",0,5,5,12,10,10017,1
"Foxtrot",2016-04-16 04:28:00,"P",0,2016-04-16 04:33:00,"P",0,5,5,12,10,10017,1
"Echo",2016-04-16 04:45:00,"P",0,2016-04-16 04:50:00,"P",0,5,5,12,10,10017,1
"Delta",2016-04-16 05:02:00,"P",0,2016-04-16 05:07:00,"P",0,5,5,12,10,10017,1
"Charlie",2016-04-16 05:19:00,"P",0,2016-04-16 05:24:00,"P",0,5,5,12,10,10017,1
"Bravo",2016-04-16 05:36:00,"P",0,2016-04-16 05:41:00,"P",0,5,5,12,10,10017,1
"Alpha",2016-04-16 05:53:00,"P",0,2016-04-16 05:58:00,"P",0,5,5,0,0,10017,1
"Alpha",2016-04-16 01:28:00,"P",0,2016-04-16 01:33:00,"P",0,5,5,12,10,10018,1
"Bravo",2016-04-16 01:45:00,"P",0,2016-04-16 01:50:00,"P",0,5,5,12,10,10018,1
"Charlie",2016-04-16 02:02:00,"P",0,2016-04-16 02:07:00,"P",0,5,5,12,10,10018,1
"Delta",2016-04-16 02:19:00,"P",0,2016-04-16 02:24:00,"P",0,5,5,12,10,10018,1
"Echo",2016-04-16 02:36:00,"P",0,2016-04-16 02:41:00,"P",0,5,5,12,10,10018,1
"Foxtrot",2016-04-16 02:53:00,"P",0,2016-04-16 02:58:00,"P",0,5,5,12,10,10018,1
"Golf",2016-04-16 03:10:00,"P",0,2016-04-16 03:15:00,"P",0,5,5,12,10,10018,1
"Hotel",2016-04-16 03:27:00,"P",0,2016-04-16 03:32:00,"P",0,5,5,12,10,10018,1
"India",2016-04-16 03:44:00,"P",0,2016-04-16 03:49:00,"P",0,5,5,12,10,10018,1
"Juliet",2016-04-16 04:01:00,"P",0,2016-04-16 04:06:00,"P",0,5,5,12,10,10018,1
"Kilo",2016-04-16 04:18:00,"P",0,2016-04-16 04:23:00,"P",0,5,5,0,0,10018,1
"Kilo",2016-04-17 09:01:00,"P",0,2016-04-17 09:06:00,"P",0,5,5,12,10,10019,1
"Juliet",2016-04-17 09:18:00,"P",0,2016-04-17 09:23:00,"P",0,5,5,12,10,10019,1
"India",2016-04-17 09:35:00,"P",0,2016-04-17 09:40:00,"P",0,5,5,12,10,10019,1
"Hotel",2016-04-17 09:52:00,"P",0,2016-04-17 09:57:00,"P",0,5,5,12,10,10019,1
"Golf",2016-04-17 10:09:00,"P",0,2016-04-17 10:14:00,"P",0,5,5,12,10,10019,1
"Foxtrot",2016-04-17 10:26:00,"P",0,2016-04-17 10:31:00,"P",0,5,5,12,10,10019,1
"Echo",2016-04-17 10:43:00,"P",0,2016-04-17 10:48:00,"P",0,5,5,12,10,10019,1
"Delta",2016-04-17 11:00:00,"P",0,2016-04-17 11:05:00,"P",0,5,5,12,10,10019,1
"Charlie",2016-04-17 11:17:00,"P",0,2016-04-17 11:22:00,"P",0,5,5,12,10,10019,1
"Bravo",2016-04-17 11:34:00,"P",0,2016-04-17 11:39:00,"P",0,5,5,12,10,10019,1
"Alpha",2016-04-17 11:51:00,"P",0,2016-04-17 11:56:00,"P",0,5,5,0,0,10019,1
"Alpha",2016-04-16 04:27:00,"P",0,2016-04-16 04:32:00,"P",0,5,5,12,10,10020,1
"Bravo",2016-04-16 04:44:00,"P",0,2016-04-16 04:49:00,"P",0,5,5,12,10,10020,1
"Charlie",2016-04-16 05:01:00,"P",0,2016-04-16 05:06:00,"P",0,5,5,12,10,10020,1
"Delta",2016-04-16 05:18:00,"P",0,2016-04-16 05:23:00,"P",0,5,5,12,10,10020,1
"Echo",2016-04-16 05:35:00,"P",0,2016-04-16 05:40:00,"P",0,5,5,12,10,10020,1
"Foxtrot",2016-04-16 05:52:00,"P",0,2016-04-16 05:57:00,"P",0,5,5,12,10,10020,1
"Golf",2016-04-16 06:09:00,"P",0,2016-04-16 06:14:00,"P",0,5,5,12,10,10020,1
"Hotel",2016-04-16 06:26:00,"P",0,2016-04-16 06:31:00,"P",0,5,5,12,10,10020,1
"India",2016-04-16 06:43:00,"P",0,2016-04-16 06:48:00,"P",0,5,5,12,10,10020,1
"Juliet",2016-04-16 07:00:00,"P",0,2016-04-16 07:05:00,"P",0,5,5,12,10,10020,1
"Kilo",2016-04-16 07:17:00,"P",0,2016-04-16 07:22:00,"P",0,5,5,0,0,10020,1
"Kilo",2016-04-17 05:20:00,"P",0,2016-04-17 05:25:00,"P",0,5,5,12,10,10021,1
"Juliet",2016-04-17 05:37:00,"P",0,2016-04-17 05:42:00,"P",0,5,5,12,10,10021,1
"India",2016-04-17 05:54:00,"P",0,2016-04-17 05:59:00,"P",0,5,5,12,10,10021,1
"Hotel",2016-04-17 06:11:00,"P",0,2016-04-17 06:16:00,"P",0,5,5,12,10,10021,1
"Golf",2016-04-17 06:28:00,"P",0,2016-04-17 06:33:00,"P",0,5,5,12,10,10021,1
"Foxtrot",2016-04-17 06:45:00,"P",0,2016-04-17 06:50:00,"P",0,5,5,12,10,10021,1
"Echo",2016-04-17 07:02:00,"P",0,2016-04-17 07:07:00,"P",0,5,5,12,10,10021,1
"Delta",2016-04-17 07:19:00,"P",0,2016-04-17 07:24:00,"P",0,5,5,12,10,10021,1
"Charlie",2016-04-17 07:36:00,"P",0,2016-04-17 07:41:00,"P",0,5,5,12,10,10021,1
"Bravo",2016-04-17 07:53:00,"P",0,2016-04-17 07:58:00,"P",0,5,5,12,10,10021,1
"Alpha",2016-04-17 08:10:00,"P",0,2016-04-17 08:15:00,"P",0,5,5,0,0,10021,1
"Alpha",2016-04-16 14:44:00,"P",0,2016-04-16 14:49:00,"P",0,5,5,12,10,10022,1
"Bravo",2016-04-16 15:01:00,"P",0,2016-04-16 15:06:00,"P",0,5,5,12,10,10022,1
"Charlie",2016-04-16 15:18:00,"P",0,2016-04-16 15:23:00,"P",0,5,5,12,10,10022,1
"Delta",2016-04-16 15:35:00,"P",0,2016-04-16 15:40:00,"P",0,5,5,12,10,10022,1
"Echo",2016-04-16 15:52:00,"P",0,2016-04-16 15:57:00,"P",0,5,5,12,10,10022,1
"Foxtrot",2016-04-16 16:09:00,"P",0,2016-04-16 16:14:00,"P",0,5,5,12,10,10022,1
"Golf",2016-04-16 16:26:00,"P",0,2016-04-16 16:31:00,"P",0,5,5,12,10,10022,1
"Hotel",2016-04-16 16:43:00,"P",0,2016-04-16 16:48:00,"P",0,5,5,12,10,10022,1
"India",2016-04-16 17:00:00,"P",0,2016-04-16 17:05:00,"P",0,5,5,12,10,10022,1
"Juliet",2016-04-16 17:17:00,"P",0,2016-04-16 17:22:00,"P",0,5,5,12,10,10022,1
"Kilo",2016-04-16 17:34:00,"P",0,2016-04-16 17:39:00,"P",0,5,5,0,0,10022,1
"Kilo",2016-04-17 22:09:00,"P",0,2016-04-17 22:14:00,"P",0,5,5,12,10,10023,1
"Juliet",2016-04-17 22:26:00,"P",0,2016-04-17 22:31:00,"P",0,5,5,12,10,10023,1
"India",2016-04-17 22:43:00,"P",0,2016-04-17 22:48:00,"P",0,5,5,12,10,10023,1
"Hotel",2016-04-17 23:00:00,"P",0,2016-04-17 23:05:00,"P",0,5,5,12,10,10023,1
"Golf",2016-04-17 23:17:00,"P",0,2016-04-17 23:22:00,"P",0,5,5,12,10,10023,1
"Foxtrot",2016-04-17 23:34:00,"P",0,2016-04-17 23:39:00,"P",0,5,5,12,10,10023,1
"Echo",2016-04-17 23:51:00,"P",0,2016-04-17 23:56:00,"P",0,5,5,12,10,10023,1
"Delta",2016-04-18 00:08:00,"P",0,2016-04-18 00:13:00,"P",0,5,5,12,10,10023,1
"Charlie",2016-04-18 00:25:00,"P",0,2016-04-18 00:30:00,"P",0,5,5,12,10,10023,1
"Bravo",2016-04-18 00:42:00,"P",0,2016-04-18 00:47:00,"P",0,5,5,12,10,10023,1
"Alpha",2016-04-18 00:59:00,"P",0,2016-04-18 01:04:00,"P",0,5,5,0,0,10023,1
